nid,title,author,date,content,company,content_clean,sentiment
425563460,전강 후약,또올라,2026.07.15 13:10,외국인들이 끄ㅡㅌ없이 팔아 재키는데 또하방으로 꼴아 박겠지~~~,SK하이닉스,외국인들이 끄 없이 팔아 재키는데 또하방으로 꼴아 박겠지,안티
425563451,이재명때문에 나라가 혼란스럽다,2000년4월,2026.07.15 13:10,"이번달 안에 빚탕감이라도 빨리해라
그게 속죄받는 길이다
온라인으로 바로 탕감 받게 해라
주식매수 할라고 온라인으로 전부 대출받았을테니",SK하이닉스,이번달 안에 빚탕감이라도 빨리해라 그게 속죄받는 길이다 온라인으로 바로 탕감 받게 해라 주식매수 할라고 온라인으로 전부 대출받았을테니,찬티
425563392,한미10잡주랑 주가 비슷하네,신용미수금지,2026.07.15 13:10,호남댕잡주으휴,SK하이닉스,호남댕잡주으휴,안티
425563373,15만전자 간다는 색힝,밝은시황이슈늑대,2026.07.15 13:10,어디갔냐 다시 짓거려바라,SK하이닉스,어디갔냐 다시 짓거려바라,찬티
425563372,번지. 준비끝,감각적인배당주현인,2026.07.15 13:10,꽉잡아라 ㅋㅋㅋ,SK하이닉스,꽉잡아라,찬티
425563331,난 익절완료.. 이틀연속 상승..120선 반등,죽음의20선,2026.07.15 13:10,조정 한번은 온다 ㅋㅋ,SK하이닉스,조정 한번은 온다,중립
425563329,한미 상친것 보니,지구이스,2026.07.15 13:10,당분간 반도체 계속 갈듯,SK하이닉스,당분간 반도체 계속 갈듯,찬티
425563288,항상~~지금이 싸다~~,순리대로능력대로,2026.07.15 13:09,"장투에게는~~^^
집이든 땅이건 주식이건~^^
장투로 회사도 키우고 푼돈 말고 큰돈벌장~^^",SK하이닉스,장투에게는 집이든 땅이건 주식이건 장투로 회사도 키우고 푼돈 말고 큰돈벌장,찬티
425563261,30만6000원부터 매물많다,7원칙,2026.07.15 13:09,"5.6 ~ 7.14.
개인 평균매수단가 30만 6000원
5.6. ~ 7.14. 개인 33.8조 매수
30만6000원 밑에서
목표가 설정 .
30만원까지는 쉽게 가즈아..",SK하이닉스,5.6 7.14. 개인 평균매수단가 30만 6000원 5.6. 7.14. 개인 33.8조 매수 30만6000원 밑에서 목표가 설정 . 30만원까지는 쉽게 가즈아..,찬티
425563241,요몇일,지긋히,2026.07.15 13:09,"멘탈들 탈탈 털렷을거야ㅎ
저번 22.17사이에도 딱이랫음ㅎ
탈탈털엇음
7.9일날부터 딱1주일만 안들여본사람들이 승자ㅎ",SK하이닉스,멘탈들 탈탈 털렷을거야 저번 22.17사이에도 딱이랫음 탈탈털엇음 7.9일날부터 딱1주일만 안들여본사람들이 승자,찬티
425563226,이번달에 결국 35 이상,삼전70꼭간다,2026.07.15 13:09,"오르락 내리락 해도
이번달에 결국
35 또는 살짝 이상 간다
8월과 9월에 정말 많이 오를거다 (삼전 시간)",SK하이닉스,오르락 내리락 해도 이번달에 결국 35 또는 살짝 이상 간다 8월과 9월에 정말 많이 오를거다 삼전 시간,찬티
425563217,국힘 주진우. 역시 악마네.,늘청춘,2026.07.15 13:09,"너는 인간이기 전에 조작부터 배웠지?
주진우, 따라해라.
이제부터 조작 안하겠습니다.",SK하이닉스,"너는 인간이기 전에 조작부터 배웠지? 주진우, 따라해라. 이제부터 조작 안하겠습니다.",안티
425563202,삼전 주가 발목잡는 한 요인~삼성노조,매화육공,2026.07.15 13:08,"외신 포함 애널리스트 분석에 나오는 내용이다
언젠가
차가운 시멘트 바닥에 거적대기 깔고
농성하는 날이 올 것이지만
기댈 언덕이 없을 것이다
한노총도 민노총도
서슬퍼런 정부도
시민단체도
국민들도
한방에 부자되려는 귀족노조 땡깡을
용서할 리 없기때문이다",SK하이닉스,외신 포함 애널리스트 분석에 나오는 내용이다 언젠가 차가운 시멘트 바닥에 거적대기 깔고 농성하는 날이 올 것이지만 기댈 언덕이 없을 것이다 한노총도 민노총도 서슬퍼런 정부도 시민단체도 국민들도 한방에 부자되려는 귀족노조 땡깡을 용서할 리 없기때문이다,안티
425563200,오늘 29만원 마감,삼성30만원가즈아,2026.07.15 13:08,낼32만원 가보자 존버,SK하이닉스,낼32만원 가보자 존버,찬티
425563179,코스피 봐라 와~ 진짜 나라가 도박판이네,hdgeb,2026.07.15 13:08,"완전개판이네
대한민국이 걱정된다",SK하이닉스,완전개판이네 대한민국이 걱정된다,안티
425563164,옛날 춘추전국시대 진나라에,밤안개이슬비,2026.07.15 13:08,"범려라는 법전 쟁이가 살앗는데
요놈이 얼마나 법으로 남해꼬지를 많이 햇는지
자기가 만든 요참형이라는 법에의해 허리가 잘려 주것다네
도망 치다가 국경근처에서 백성의 신고로 잡혓다는구만
법 가지고 질알떨다가
멸문 지화를 당햇다는구만
공정과 상식 이지",SK하이닉스,범려라는 법전 쟁이가 살앗는데 요놈이 얼마나 법으로 남해꼬지를 많이 햇는지 자기가 만든 요참형이라는 법에의해 허리가 잘려 주것다네 도망 치다가 국경근처에서 백성의 신고로 잡혓다는구만 법 가지고 질알떨다가 멸문 지화를 당햇다는구만 공정과 상식 이지,중립
425563145,이재명 금융 마피아에 굴복,kjyoon,2026.07.15 13:08,이럴거면 상법개정은 뭐러했나 국민이 바본줄 아나 ㅋ,SK하이닉스,이럴거면 상법개정은 뭐러했나 국민이 바본줄 아나,안티
425563134,매번,K비디아,2026.07.15 13:08,"널뛰기
미쳐서날뛴다",SK하이닉스,널뛰기 미쳐서날뛴다,안티
425563113,솔까 30만 이하는 말이 안되지 이실적에,어차피인생,2026.07.15 13:08,"근대 40만 50만은 아무도 모름
그래서 그런말은 안한다",SK하이닉스,근대 40만 50만은 아무도 모름 그래서 그런말은 안한다,중립
425563111,레버리지 없애기전까지는 관망.,제빵왕초단타,2026.07.15 13:08,관망이 답이닷.,SK하이닉스,관망이 답이닷.,중립
425563100,어휴 ..285000원,슈대리,2026.07.15 13:08,이거 씌원하게 한 번 뚫자~~~~,SK하이닉스,이거 씌원하게 한 번 뚫자,찬티
425563084,양전 주식시장 초칠 준비한다,rlgndnlrl,2026.07.15 13:08,프로그램에서 던지고 외인투척 기관버리기 기획들어간다,SK하이닉스,프로그램에서 던지고 외인투척 기관버리기 기획들어간다,안티
425563064,마에8%를 넘어서라.넘어서면 바로15%?,오늘그날인가,2026.07.15 13:07,수직상승!,SK하이닉스,수직상승!,찬티
425563061,"이제 검색,공부 할때도 무조건 AI",sky1net,2026.07.15 13:07,"독학으로 ai와 공부하는게 학원보다 잘됨. 학원강사도 대체될 전망
이제 검색으로 웹서핑 하다 정 없으면 t스토리,블로그,지식in 뒤지는 일 안함
백과,사전 검색도 걍 검색 옆에 ai로 들어가서 함
soop,Tworld,kt,u+ 에도 웹페이지 제일큰 my버튼이 ai검색 버튼으로 바뀌어 있고
my버튼은 어디 구석으로 빠져버림
모든 도메인이 ai를 걸치지 않고는 살아 남을수 없는 세상
내가 검색할 시간과 수고를 덜어줌. 생각,걱정을 하고
ai자체탑재 폰,자동차,클라우드는 학습하고 진화함
영원히 내 가족이 되고 자손이 없으면 친척에게 인계됨
ai탱크,미사일,드론,잠수정에 hbm넣고 전쟁하면. 수요를 따라 잡을수 있을까
이 미친 혁명 전환점에 기존 주식경험 들먹이며 일반적인 판단을 한다?
피부사진 찍어 올리니 의사보다 정확하고[신경성 접촉 피부염]
염증 생기는 원인과 대처법도 의사보다 설명 잘해줌
앞으로의 치료 계발 전망 까지",SK하이닉스,"독학으로 ai와 공부하는게 학원보다 잘됨. 학원강사도 대체될 전망 이제 검색으로 웹서핑 하다 정 없으면 t스토리,블로그,지식in 뒤지는 일 안함 백과,사전 검색도 걍 검색 옆에 ai로 들어가서 함 soop,Tworld,kt,u 에도 웹페이지 제일큰 my버튼이 ai검색 버튼으로 바뀌어 있고 my버튼은 어디 구석으로 빠져버림 모든 도메인이 ai를 걸치지 않고는 살아 남을수 없는 세상 내가 검색할 시간과 수고를 덜어줌. 생각,걱정을 하고 ai자체탑재 폰,자동차,클라우드는 학습하고 진화함 영원히 내 가족이 되고 자손이 없으면 친척에게 인계됨 ai탱크,미사일,드론,잠수정에 hbm넣고 전쟁하면. 수요를 따라 잡을수 있을까 이 미친 혁명 전환점에 기존 주식경험 들먹이며 일반적인 판단을 한다? 피부사진 찍어 올리니 의사보다 정확하고 신경성 접촉 피부염 염증 생기는 원인과 대처법도 의사보다 설명 잘해줌 앞으로의 치료 계발 전망 까지",찬티
425563025,이번주,유능한공략참새,2026.07.15 13:07,"트리거 예상....
홀딩.............",SK하이닉스,트리거 예상.... 홀딩.............,중립
425563002,29만원 못간다,fkdhsk,2026.07.15 13:07,버려라..,SK하이닉스,버려라..,안티
425562988,다시 내림,사려깊은시장힌트늑대,2026.07.15 13:07,오르는척~~,SK하이닉스,오르는척,안티
425562981,폼페이 대폭발 기회가 주어줬을 때 튀고 토끼면 살고 주저앉아 있으면 화석으로 발견될 것.......튀라 토토토껴라....,세븐스타짱,2026.07.15 13:07,"Wow
놀면서 잘 먹고 잘 살자 화이팅 차차차 지화자",SK하이닉스,Wow 놀면서 잘 먹고 잘 살자 화이팅 차차차 지화자,찬티
425562886,차트 일봉상,노련한익절판단파이터,2026.07.15 13:06,바닥칠때 바로알수있는거 있다드만 뭐에여?,SK하이닉스,바닥칠때 바로알수있는거 있다드만 뭐에여?,중립
425562872,내일 패대기 안치면 30 갈듯한데,특이한논쟁지키미,2026.07.15 13:06,내일이 문제여..,SK하이닉스,내일이 문제여..,중립
425562861,그냥 확올리라고 뭐하냐 답답라게하네 주식,감좋은증시소식수비수,2026.07.15 13:06,갈길바쁘다고 확올려 이번주,SK하이닉스,갈길바쁘다고 확올려 이번주,찬티
425562850,잘 먹었습니다 ㅎㅎ,앵두1104,2026.07.15 13:06,"성투 하시고 ᆢ돈 많이 많이
버세요 ㅎㅎ",SK하이닉스,성투 하시고 돈 많이 많이 버세요,찬티
