nid,title,author,date,content,company,content_clean,sentiment
425556922,★ 삼성전자 독일 ADR 10% 폭등: 오늘 10% 폭등 전망,반도체1등종목매수,2026.07.15 12:16,"★ 삼성전자 독일 ADR 10% 폭등: 오늘 10% 폭등 전망
삼성전자: 2분기 서프라이즈 실적 발표: 매수 적기
영업이익: 110조원(충담금 포함): 작년 대비 1810% 폭증
★ 엔비디아 영업이익 81조: 삼성전자 110조원(세계 1위)
삼성전자: 외인+기관 최근 1370만주 대량매수: 급등신호
1. 삼성전자: 90조원 자사주 매입: 폭등 가능: 선매수
24년 자사주 10조 매수로 68% 폭등 했었음
자사주 90조원 매수시 200% 폭등 가능: 빨리 매수 필요
2. 삼성전자: 연말 특별배당 1주당 1.5만원: 폭등 재료!
하반기 갈수록, 고배당 받으려 매수세 몰림: 선 매수 유리
★ 삼성전자: HBM+파운드리+휴대폰(3개업황): 다 좋다
삼성전자 빨리 매수후 1~2년 인내시 부자 됨
연말 100만원, 내년 200만원(내년 영업이익 631조원)",삼성전자,"삼성전자 독일 ADR 10 폭등 오늘 10 폭등 전망 삼성전자 2분기 서프라이즈 실적 발표 매수 적기 영업이익 110조원 충담금 포함 작년 대비 1810 폭증 엔비디아 영업이익 81조 삼성전자 110조원 세계 1위 삼성전자 외인 기관 최근 1370만주 대량매수 급등신호 1. 삼성전자 90조원 자사주 매입 폭등 가능 선매수 24년 자사주 10조 매수로 68 폭등 했었음 자사주 90조원 매수시 200 폭등 가능 빨리 매수 필요 2. 삼성전자 연말 특별배당 1주당 1.5만원 폭등 재료! 하반기 갈수록, 고배당 받으려 매수세 몰림 선 매수 유리 삼성전자 HBM 파운드리 휴대폰 3개업황 다 좋다 삼성전자 빨리 매수후 1 2년 인내시 부자 됨 연말 100만원, 내년 200만원 내년 영업이익 631조원",찬티
425556876,세력들,내는대박난다,2026.07.15 12:16,개쳐올리노,삼성전자,개쳐올리노,안티
425556863,이란 미국 전쟁은 이제 AI 전쟁!!,함께하는익절전략대장,2026.07.15 12:16,삼전 하닉 바쁘다 바빠!! 생산하기. 공급량이 딸리넹,삼성전자,삼전 하닉 바쁘다 바빠!! 생산하기. 공급량이 딸리넹,찬티
425556817,D램과 hbm 20년간 수요 폭증.,봄이왔어요,2026.07.15 12:15,심성전자 목표가 100만원,삼성전자,심성전자 목표가 100만원,찬티
425556779,금리도 인상 안될려면 22만원 가야된다 전자닉스,주식초고수형,2026.07.15 12:15,그게 팩트다,삼성전자,그게 팩트다,중립
425556773,아직도 대한민국 사람 80%는 주식안한다.,꾸준한적립도롱뇽,2026.07.15 12:15,"코스피 좀더 올려야 돼. 아직 한참 멀었어
풀대출로 집사고 갭투자 하는데
주식은 아직도 보수적이다.
신용미수 너무 미워하지 마라",삼성전자,코스피 좀더 올려야 돼. 아직 한참 멀었어 풀대출로 집사고 갭투자 하는데 주식은 아직도 보수적이다. 신용미수 너무 미워하지 마라,찬티
425556757,금리인상후 1년간 하락은 머다?,조정시매수는따블,2026.07.15 12:15,도박판의진리,삼성전자,도박판의진리,안티
425556745,강력매수~~~,삼성전자하이닉스반도체전성시대,2026.07.15 12:15,강력매수~~~,삼성전자,강력매수,찬티
425556697,쪼금씩 올라가넹ㅎㅎ 잼있네 삼성 함 힘내보자!,헤롱이,2026.07.15 12:14,화이팅이다 삼성아 너 진짜 너무 떨어졌어 이제 올려,삼성전자,화이팅이다 삼성아 너 진짜 너무 떨어졌어 이제 올려,찬티
425556666,물리지말고 실적보고 들어가라.,숨겨진투자전략개척자,2026.07.15 12:14,그러다 또물려서 욕하지말구,삼성전자,그러다 또물려서 욕하지말구,안티
425556656,호구 안되는 방법.,골든크로스상한가,2026.07.15 12:14,"호구가 되지 않으려면 착한 사람 콤플렉스를 버리고, 나만의 명확한 '거절 기준'과 '심리적 선'을 구축해야 합니다. 타인의 감정을 상하게 할까 봐 두려워 모든 요구를 들어주는 행동은 결국 나를 만만한 상대로 만듭니다.
일상과 인간관계에서 호구 잡히지 않고 나를 지키는 핵심 실천 방법입니다.
📌 1. 명확하고 단호하게 거절하기
'아니오'라고 말하기: 원치 않는 제안, 무리한 부탁, 내 시간과 에너지를 갉아먹는 요청에는 단호하게 선을 그어야 합니다.
미안해하지 않기: 거절은 나의 당연한 권리입니다. 상대방의 기분을 맞춰주기 위해 억지로 수락하면 나중에 더 큰 불편을 겪게 됩니다.
정중하지만 유쾌하게: 굳이 화를 내거나 무례하게 굴 필요는 없습니다. ""그건 제가 도와드리기 어렵겠네요""처럼 나이스하고 정중하게 의사를 표시하면 됩니다.
📌 2. 인간관계에서 만만한 이미지 탈피하기
과도한 친절 베풀지 않기: 모든 사람에게 좋은 사람이 되려고 노력하면 상대는 내 친절을 당연한 권리로 여깁니다.
감정적 대응 삼가기: 부당한 상황을 마주했을 때 흥분하거나 화를 내기보다는, 침착하고 이성적인 어조로 내 입장을 명확히 짚고 넘어가야 합니다.
포커페이스 유지하기: 강한 긍정이나 과도한 동의, 혹은 지나친 저자세를 삼가고 나만의 중심을 잡는 이미지를 보여주세요.
📌 3. 기버(Giver)에서 매처(Matcher)로 변신하기
받은 만큼 돌려주기: 애덤 그랜트의 저서 '기브앤테이크'에 나오는 개념처럼, 무조건 베풀기만 하는 '기버'는 호구가 되기 쉽습니다.
눈에는 눈, 이에는 이: 평소에는 호의적 처세를 유지하되, 나를 이용하려는 '테이커(Taker)'를 만나면 똑같이 단호하고 쎄게 나가서 함부로 건드릴 수 없는 사람임을 각인시켜야 합니다.
📌 4. '타인의 이익'을 대변한다고 생각하기
프레임 전환하기: 마음이 약해 내 몫을 잘 챙기지 못하는 성격이라면 프레임을 바꿔보세요.
가족이나 팀 생각하기: ""내가 여기서 손해를 보고 양보하면 결국 내 가족, 내 팀원들이 피해를 본다""고 생각하면 협상력과 거절의 명분이 강해집니다.
📌 5. 즉흥적인 결정 피하기
생각할 시간 벌기: 상대방이 갑작스러운 제안이나 무리한 요구를 해올 때 그 자리에서 바로 답하지 마세요.
""확인해보고 연락드릴게요"": ""스케줄을 확인해 봐야 한다"", ""고민해 볼 시간이 필요하다""며 한 템포 쉬어 가면 이성적인 판단을 내릴 수 있습니다.
좋~까~!! 당신은 사랑 받기 위해서 태어 난게 아니야.!",삼성전자,"호구가 되지 않으려면 착한 사람 콤플렉스를 버리고, 나만의 명확한 거절 기준 과 심리적 선 을 구축해야 합니다. 타인의 감정을 상하게 할까 봐 두려워 모든 요구를 들어주는 행동은 결국 나를 만만한 상대로 만듭니다. 일상과 인간관계에서 호구 잡히지 않고 나를 지키는 핵심 실천 방법입니다. 1. 명확하고 단호하게 거절하기 아니오 라고 말하기 원치 않는 제안, 무리한 부탁, 내 시간과 에너지를 갉아먹는 요청에는 단호하게 선을 그어야 합니다. 미안해하지 않기 거절은 나의 당연한 권리입니다. 상대방의 기분을 맞춰주기 위해 억지로 수락하면 나중에 더 큰 불편을 겪게 됩니다. 정중하지만 유쾌하게 굳이 화를 내거나 무례하게 굴 필요는 없습니다. 그건 제가 도와드리기 어렵겠네요 처럼 나이스하고 정중하게 의사를 표시하면 됩니다. 2. 인간관계에서 만만한 이미지 탈피하기 과도한 친절 베풀지 않기 모든 사람에게 좋은 사람이 되려고 노력하면 상대는 내 친절을 당연한 권리로 여깁니다. 감정적 대응 삼가기 부당한 상황을 마주했을 때 흥분하거나 화를 내기보다는, 침착하고 이성적인 어조로 내 입장을 명확히 짚고 넘어가야 합니다. 포커페이스 유지하기 강한 긍정이나 과도한 동의, 혹은 지나친 저자세를 삼가고 나만의 중심을 잡는 이미지를 보여주세요. 3. 기버 Giver 에서 매처 Matcher 로 변신하기 받은 만큼 돌려주기 애덤 그랜트의 저서 기브앤테이크 에 나오는 개념처럼, 무조건 베풀기만 하는 기버 는 호구가 되기 쉽습니다. 눈에는 눈, 이에는 이 평소에는 호의적 처세를 유지하되, 나를 이용하려는 테이커 Taker 를 만나면 똑같이 단호하고 쎄게 나가서 함부로 건드릴 수 없는 사람임을 각인시켜야 합니다. 4. 타인의 이익 을 대변한다고 생각하기 프레임 전환하기 마음이 약해 내 몫을 잘 챙기지 못하는 성격이라면 프레임을 바꿔보세요. 가족이나 팀 생각하기 내가 여기서 손해를 보고 양보하면 결국 내 가족, 내 팀원들이 피해를 본다 고 생각하면 협상력과 거절의 명분이 강해집니다. 5. 즉흥적인 결정 피하기 생각할 시간 벌기 상대방이 갑작스러운 제안이나 무리한 요구를 해올 때 그 자리에서 바로 답하지 마세요. 확인해보고 연락드릴게요 스케줄을 확인해 봐야 한다 , 고민해 볼 시간이 필요하다 며 한 템포 쉬어 가면 이성적인 판단을 내릴 수 있습니다. 좋 까 !! 당신은 사랑 받기 위해서 태어 난게 아니야.!",중립
425556645,주가조작 패가망신,즐거운마티니,2026.07.15 12:14,장난질 조사해서 패가망신,삼성전자,장난질 조사해서 패가망신,안티
425556637,50만 가는거 눈에 보이는데 팔고 나가겠어 ㅋ,함께하는익절전략대장,2026.07.15 12:13,이제는 서로 물량 뺏기 바쁠듯 ㅋㅋ,삼성전자,이제는 서로 물량 뺏기 바쁠듯,중립
425556589,디램과 HBM 앞으로.. 삼성전자 목표가,봄이왔어요,2026.07.15 12:13,"20년간 수요 급증으로 부족 결과 나왔다.
100만원",삼성전자,20년간 수요 급증으로 부족 결과 나왔다. 100만원,찬티
425556577,장난 고마 하고,국가정보자원펀드,2026.07.15 12:13,초복인데 삼계탕이나 묵으러 가라. 몸보신해야 인내심이 생기지,삼성전자,초복인데 삼계탕이나 묵으러 가라. 몸보신해야 인내심이 생기지,중립
425556543,어제 공포에 파신 분들 있나여 ㅠ,삼닉은전설,2026.07.15 12:13,팔아주셔서 감사합니다 하따 잘했습니다 맛좋노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,삼성전자,팔아주셔서 감사합니다 하따 잘했습니다 맛좋노,찬티
425556522,니네 이거 못 뚫으면,항서탓,2026.07.15 12:12,바로 갭매우러간다 ㅋㅋㅋㅋㅋㅋㅋㅋ,삼성전자,바로 갭매우러간다,안티
425556487,와 진짜 독하다 독해,레드팀출동,2026.07.15 12:12,"그렇게 두들겨 처맞고도 개인 신용은 더 늘었네
대단하다 대한민국!!!
이러니 해외IB들이 대놓고 한국시장이 미개하다고 대놓고 농락하지 않냐........
냄비근성 어쩔수없나보다 뭐 레버리지의 끝은 결국 파멸이겠지만
말한다고 바뀌겠냐 결국 자기인생인데 ㅋㅋㅋㅋㅋㅋㅋ",삼성전자,그렇게 두들겨 처맞고도 개인 신용은 더 늘었네 대단하다 대한민국!!! 이러니 해외IB들이 대놓고 한국시장이 미개하다고 대놓고 농락하지 않냐........ 냄비근성 어쩔수없나보다 뭐 레버리지의 끝은 결국 파멸이겠지만 말한다고 바뀌겠냐 결국 자기인생인데,안티
425556481,개미들.,아싸라비아콜롬비아,2026.07.15 12:12,"이제 팔고..... 미장가려나보다.
애휴...레버리지... 해결책이 있는데도 미적미적.",삼성전자,이제 팔고..... 미장가려나보다. 애휴...레버리지... 해결책이 있는데도 미적미적.,안티
425556444,빨리 팔고 나가라,안하는게답이다,2026.07.15 12:12,또 떨어지믄 누구탓하지 말고 ㅋㅋ,삼성전자,또 떨어지믄 누구탓하지 말고,안티
425556411,지금 28만 뚫으면 개인들 던지니까!!,함께하는익절전략대장,2026.07.15 12:11,물량 뺏은 후 시초가로 뚫어버림!!!!,삼성전자,물량 뺏은 후 시초가로 뚫어버림!!!!,찬티
425556407,"미국 다음주 ""지상군 투입""",나이스굿,2026.07.15 12:11,"이란이 굴복하지 않으면 미국은 지상군을 투입하고
이란의 모든 발전소 및 교량을 파괴 하겠다고 발표했다.
국제 전문가들 대부분은 이란의 합의는 없을것으로 예상했고
트럼프는 타코없이 이란 침공을 실행할것이라고 내다보고 있다.
문제가 심각해지고 있네요.....
현시각에도 국제유가는 계속 오르고 있는 중이며
미국의 실행이 가시화되면 시장은 패닉이 올것으로 내다 보이네요.
흥국석유가 상승흐름을 타기 시작했네요...",삼성전자,이란이 굴복하지 않으면 미국은 지상군을 투입하고 이란의 모든 발전소 및 교량을 파괴 하겠다고 발표했다. 국제 전문가들 대부분은 이란의 합의는 없을것으로 예상했고 트럼프는 타코없이 이란 침공을 실행할것이라고 내다보고 있다. 문제가 심각해지고 있네요..... 현시각에도 국제유가는 계속 오르고 있는 중이며 미국의 실행이 가시화되면 시장은 패닉이 올것으로 내다 보이네요. 흥국석유가 상승흐름을 타기 시작했네요...,안티
425556386,잠깐 반등이다 하락할 리스트 정리해줬다 애들아 봐라,주식초고수형,2026.07.15 12:11,"기억해라 형은 두번 안알려준다
한국 단일레버리지etf
끝나지 않는 이란전쟁
트럼프의 돌발행동 세금부과 호르무즈 통행료 부과
메모리값상승 = 휴대폰값상승
애플의 소송
ai데이터센터의 무한 투자 피로감
호남쪽 과도한 투자
아직 높은 환율 레벨 1490원
오늘 나온 매수사이드카
항상 매수사이드카 나온후 매도사이드카 나온후 매수사이드카 반복
마이크버리의 날카로운 분석력
손해만 봤던 개미들의 빚투의 한계 더이상 들어올 돈이 없음
할머니 스무디킹알바생 미용실아줌마 퇴직금넣은 할아버지 취준생 등등
그냥 들어와있어서 그걸 뚫고 들어와줄 빅머니가 없음",삼성전자,기억해라 형은 두번 안알려준다 한국 단일레버리지etf 끝나지 않는 이란전쟁 트럼프의 돌발행동 세금부과 호르무즈 통행료 부과 메모리값상승 휴대폰값상승 애플의 소송 ai데이터센터의 무한 투자 피로감 호남쪽 과도한 투자 아직 높은 환율 레벨 1490원 오늘 나온 매수사이드카 항상 매수사이드카 나온후 매도사이드카 나온후 매수사이드카 반복 마이크버리의 날카로운 분석력 손해만 봤던 개미들의 빚투의 한계 더이상 들어올 돈이 없음 할머니 스무디킹알바생 미용실아줌마 퇴직금넣은 할아버지 취준생 등등 그냥 들어와있어서 그걸 뚫고 들어와줄 빅머니가 없음,안티
